doc_id,vader_neg,vader_neu,vader_pos,vader_compound
church_councils__the_fifth_general_council_of_the_lateran__1512_17,0.036,0.865,0.099,0.9996
church_councils__the_first_general_council_of_constantinople__381,0.073,0.8,0.126,0.9997
church_councils__the_first_general_council_of_lyons__1245,0.088,0.772,0.141,0.9998
church_councils__the_first_general_council_of_nicaea__325,0.043,0.781,0.175,0.9995
church_councils__the_first_general_council_of_the_lateran__1123,0.068,0.861,0.071,-0.6946
church_councils__the_first_general_council_of_the_vatican__1869_70,0.032,0.786,0.183,0.9997
church_councils__the_fourth_general_council_of_constantinople__869_,0.096,0.736,0.168,0.9999
church_councils__the_fourth_general_council_of_the_lateran__1215,0.068,0.793,0.139,0.9999
church_councils__the_general_council_of_basel_ferrara_florence__143,0.04,0.84,0.12,0.9999
church_councils__the_general_council_of_chalcedon__451,0.094,0.744,0.162,0.9999
church_councils__the_general_council_of_constance__1414_18,0.038,0.833,0.129,0.9999
church_councils__the_general_council_of_ephesus__431,0.077,0.782,0.141,0.9998
church_councils__the_general_council_of_trent__1545_63,0.021,0.939,0.04,0.8934
church_councils__the_general_council_of_vienne__1311_12,0.074,0.822,0.104,0.999
church_councils__the_second_general_council_of_constantinople__553,0.087,0.799,0.115,0.999
church_councils__the_second_general_council_of_lyons__1274,0.077,0.785,0.138,0.9999
church_councils__the_second_general_council_of_nicaea__787,0.071,0.803,0.126,0.9998
church_councils__the_second_general_council_of_the_lateran__1139,0.129,0.761,0.109,-0.9986
church_councils__the_third_general_council_of_constantinople__680_6,0.056,0.772,0.172,0.9998
church_councils__the_third_general_council_of_the_lateran__1179,0.074,0.828,0.098,0.9973
church_councils__vatican_ii___1962_1965,0.0,0.959,0.041,0.8316
pope_alexander_iv__clara_claris_praeclara,0.027,0.867,0.106,0.9999
pope_alexander_iv__petitionibus_vestris_benignum_impertientes,0.0,0.982,0.018,0.34
pope_alexander_vi__inter_caetera,0.025,0.776,0.199,0.9999
pope_benedict_xii__benedictus_deus,0.108,0.707,0.184,0.9882
pope_benedict_xiv__a_quo_primum,0.097,0.747,0.156,0.9993
pope_benedict_xiv__allatae_sunt,0.053,0.835,0.112,0.9998
pope_benedict_xiv__annus_qui_hunc,0.055,0.794,0.152,0.9999
pope_benedict_xiv__apostolica_constitutio,0.053,0.798,0.149,0.9999
pope_benedict_xiv__cum_religiosi,0.027,0.839,0.134,0.9994
pope_benedict_xiv__ex_omnibus,0.084,0.755,0.162,0.9992
