doc_id,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
church_councils__the_fifth_general_council_of_the_lateran__1512_17,0.000508943475911487,0.008888753966482926,0.02624244109443618,6.44430079975299e-06,6.444300688373314e-06,0.00031655742032902145,0.08114422003390256,0.0013194893577686043,6.444354502100058e-06,0.881560261695179
church_councils__the_first_general_council_of_constantinople__381,6.287195260582582e-05,6.287255189663521e-05,6.287149115855186e-05,0.09203258227371429,6.286840208818592e-05,6.28548405620916e-05,0.053490416038527264,6.287143460625267e-05,0.03459188332256972,0.8195079076922711
church_councils__the_first_general_council_of_lyons__1245,1.824655670477978e-05,0.004967575697771698,1.8246299805772216e-05,1.8246832600924845e-05,1.8246677115208397e-05,1.8241802902531502e-05,0.0989070884458308,1.8246246127388365e-05,1.824621492846801e-05,0.8959976152262124
church_councils__the_first_general_council_of_nicaea__325,0.06854327151692492,0.0002482194523974921,0.0002482115017151076,0.10462223600626172,0.00024820002772917883,0.0002481580588114911,0.07001365285057616,0.00024821319559803674,0.0002482177495968229,0.755331619640389
church_councils__the_first_general_council_of_the_lateran__1123,0.23381950677452462,9.499043063284354e-05,9.498710602231298e-05,0.006043840399232688,0.00841392529840646,0.00437131106615026,9.499229819556227e-05,0.018614672010724028,9.49922692381538e-05,0.728356782346873
church_councils__the_first_general_council_of_the_vatican__1869_70,0.03467447655417094,0.00017127532450150098,0.04270463574638043,0.101046779360112,0.000171278154156161,0.00017123648018824131,0.032900070996385665,0.04329974650396454,0.0001712807937775361,0.7446892200863631
church_councils__the_fourth_general_council_of_constantinople__869_,2.0620464250730123e-05,2.0620670133794863e-05,0.06209634862855625,0.0709530967593774,2.0620233049727278e-05,0.001080253925169323,0.05282184885525648,0.016456308834189373,2.0620378094355567e-05,0.7965096612519225
church_councils__the_fourth_general_council_of_the_lateran__1215,1.0737132259306084e-05,1.0737394376955964e-05,1.0737250073134877e-05,1.073736988276489e-05,0.0225890073025571,1.073440193877958e-05,1.0737275841853845e-05,0.0011153620232933342,1.0737208376963891e-05,0.9762204726413999
church_councils__the_general_council_of_basel_ferrara_florence__143,0.0076271584623178144,4.121821239101557e-06,4.121788094638783e-06,0.030359636596429214,4.121869783744e-06,4.1207221258206325e-06,0.03005098869321333,0.07833295626089186,4.121828764182689e-06,0.8536086519571403
church_councils__the_general_council_of_chalcedon__451,3.160398165856173e-05,3.1605189711381404e-05,3.160461789653409e-05,0.2263037617948825,0.033634016640895256,3.159591403001217e-05,3.1604980105559955e-05,0.06009667590059796,3.1604192818514726e-05,0.6797759267874036
