doc_id,pope,title,year,n_paragraphs,n_chars,n_tokens,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound
church_councils__the_fifth_general_council_of_the_lateran__1512_17,Church Councils,"The Fifth General Council of the Lateran, 1512-17",1512,196,211930,40440,0.036,0.865,0.099,0.9996
church_councils__the_first_general_council_of_constantinople__381,Church Councils,"The First General Council of Constantinople, 381",,51,22891,4427,0.073,0.8,0.126,0.9997
church_councils__the_first_general_council_of_lyons__1245,Church Councils,"The First General Council of Lyons, 1245",1245,94,77512,15108,0.088,0.772,0.141,0.9998
church_councils__the_first_general_council_of_nicaea__325,Church Councils,"The First General Council of Nicaea, 325",,20,6097,1169,0.043,0.781,0.175,0.9995
church_councils__the_first_general_council_of_the_lateran__1123,Church Councils,"The First General Council of the Lateran, 1123",,37,16643,3526,0.068,0.861,0.071,-0.6946
church_councils__the_first_general_council_of_the_vatican__1869_70,Church Councils,"The First General Council of the Vatican, 1869-70",1869,103,7733,1536,0.032,0.786,0.183,0.9997
church_councils__the_fourth_general_council_of_constantinople__869_,Church Councils,"The Fourth General Council of Constantinople, 869-870",,116,68121,13033,0.096,0.736,0.168,0.9999
church_councils__the_fourth_general_council_of_the_lateran__1215,Church Councils,"The Fourth General Council of the Lateran, 1215",1215,242,124836,23649,0.068,0.793,0.139,0.9999
church_councils__the_general_council_of_basel_ferrara_florence__143,Church Councils,"The General Council of Basel-Ferrara-Florence, 1431-45",1431,411,325101,62253,0.04,0.84,0.12,0.9999
church_councils__the_general_council_of_chalcedon__451,Church Councils,"The General Council of Chalcedon, 451",,101,44643,8826,0.094,0.744,0.162,0.9999
church_councils__the_general_council_of_constance__1414_18,Church Councils,"The General Council of Constance, 1414-18",1414,441,143617,28198,0.038,0.833,0.129,0.9999
church_councils__the_general_council_of_ephesus__431,Church Councils,"The General Council of Ephesus, 431",,84,40847,8136,0.077,0.782,0.141,0.9998
church_councils__the_general_council_of_trent__1545_63,Church Councils,"The General Council of Trent, 1545-63",1545,1,4483,759,0.021,0.939,0.04,0.8934
church_councils__the_general_council_of_vienne__1311_12,Church Councils,"The General Council of Vienne, 1311-12",1311,169,202206,38573,0.074,0.822,0.104,0.999
church_councils__the_second_general_council_of_constantinople__553,Church Councils,"The Second General Council of Constantinople, 553",,25,27973,5349,0.087,0.799,0.115,0.999
church_councils__the_second_general_council_of_lyons__1274,Church Councils,"The Second General Council of Lyons, 1274",1274,71,69961,13404,0.077,0.785,0.138,0.9999
church_councils__the_second_general_council_of_nicaea__787,Church Councils,"The Second General Council of Nicaea, 787",,79,32378,6197,0.071,0.803,0.126,0.9998
church_councils__the_second_general_council_of_the_lateran__1139,Church Councils,"The Second General Council of the Lateran, 1139",,40,18533,3651,0.129,0.761,0.109,-0.9986
church_councils__the_third_general_council_of_constantinople__680_6,Church Councils,"The Third General Council of Constantinople, 680-681",,17,11205,2196,0.056,0.772,0.172,0.9998
church_councils__the_third_general_council_of_the_lateran__1179,Church Councils,"The Third General Council of the Lateran, 1179",,39,46024,8858,0.074,0.828,0.098,0.9973
church_councils__vatican_ii___1962_1965,Church Councils,Vatican II ╬ô├ç├┤ 1962-1965,1962,1,1243,189,0.0,0.959,0.041,0.8316
pope_alexander_iv__clara_claris_praeclara,Pope Alexander IV,Clara claris praeclara,1255,78,35617,6348,0.027,0.867,0.106,0.9999
pope_alexander_iv__petitionibus_vestris_benignum_impertientes,Pope Alexander IV,Petitionibus vestris benignum impertientes,1255,3,944,177,0.0,0.982,0.018,0.34
pope_alexander_vi__inter_caetera,Pope Alexander VI,Inter Caetera,1493,11,10036,1928,0.025,0.776,0.199,0.9999
pope_benedict_xii__benedictus_deus,Pope Benedict XII,Benedictus Deus,1336,1,2806,551,0.108,0.707,0.184,0.9882
pope_benedict_xiv__a_quo_primum,Pope Benedict XIV,A Quo Primum,1751,14,12862,2458,0.097,0.747,0.156,0.9993
pope_benedict_xiv__allatae_sunt,Pope Benedict XIV,Allatae Sunt,1755,158,101317,19419,0.053,0.835,0.112,0.9998
pope_benedict_xiv__annus_qui_hunc,Pope Benedict XIV,Annus qui hunc,1692,1,64743,12916,0.055,0.794,0.152,0.9999
pope_benedict_xiv__apostolica_constitutio,Pope Benedict XIV,Apostolica Constitutio,1749,51,64345,12435,0.053,0.798,0.149,0.9999
pope_benedict_xiv__cum_religiosi,Pope Benedict XIV,Cum Religiosi,1754,13,8786,1642,0.027,0.839,0.134,0.9994
pope_benedict_xiv__ex_omnibus,Pope Benedict XIV,Ex Omnibus,1756,18,9410,1748,0.084,0.755,0.162,0.9992
pope_benedict_xiv__ex_quo,Pope Benedict XIV,Ex Quo,1756,136,137739,26772,0.034,0.867,0.099,0.9998
pope_benedict_xiv__magnae_nobis,Pope Benedict XIV,Magnae Nobis,1724,21,15090,2864,0.072,0.808,0.12,0.999
pope_benedict_xiv__nimiam_licentiam,Pope Benedict XIV,Nimiam Licentiam,1743,35,13796,2521,0.071,0.807,0.122,0.9989
pope_benedict_xiv__peregrinantes,Pope Benedict XIV,Peregrinantes,1750,27,15254,2965,0.073,0.689,0.238,1.0
pope_benedict_xiv__quanta_cura,Pope Benedict XIV,Quanta Cura,1741,10,5520,1043,0.125,0.749,0.126,0.1337
pope_benedict_xiv__quod_provinciale,Pope Benedict XIV,Quod Provinciale,1754,10,6952,1309,0.103,0.723,0.174,0.9981
pope_benedict_xiv__ubi_primum,Pope Benedict XIV,Ubi Primum,1740,20,13191,2554,0.051,0.759,0.191,0.9999
pope_benedict_xiv__vix_pervenit,Pope Benedict XIV,Vix Pervenit,1745,20,11406,2160,0.068,0.786,0.146,0.9995
pope_benedict_xv__ad_beatissimi_apostolorum,Pope Benedict XV,Ad Beatissimi Apostolorum,,37,36067,7410,0.107,0.702,0.191,0.9999
pope_benedict_xv__annus_iam_plenus,Pope Benedict XV,Annus Iam Plenus,,10,9040,1774,0.094,0.694,0.212,0.9998
pope_benedict_xv__fausto_appetente_die,Pope Benedict XV,Fausto Appetente Die,1921,18,12110,2383,0.054,0.732,0.214,0.9999
pope_benedict_xv__humani_generis_redemptionem,Pope Benedict XV,Humani Generis Redemptionem,,28,26776,5525,0.067,0.77,0.163,0.9999
pope_benedict_xv__in_hac_tanta,Pope Benedict XV,In Hac Tanta,1919,38,19025,3805,0.044,0.748,0.208,1.0
pope_benedict_xv__in_praeclara_summorum,Pope Benedict XV,In Praeclara Summorum,1921,16,15376,3074,0.055,0.7,0.245,1.0
pope_benedict_xv__pacem__dei_munus_pulcherrimum,Pope Benedict XV,"Pacem, Dei Munus Pulcherrimum",1920,26,18101,3623,0.111,0.685,0.203,0.9999
