pope,source,detail_level,n_documents,n_with_text,languages
Benedict Xv,vatican.va,standard,14,14,en
Benedict Xvi,vatican.va,standard,3125,3125,en
Church Councils,papalencyclicals.net,standard,21,21,en
Francesco,vatican.va,standard,5747,5747,en
John Paul I,vatican.va,standard,22,22,en
John Paul Ii,vatican.va,standard,6155,6155,en
John Xxiii,vatican.va,standard,33,33,en
Leo Xiii,vatican.va,standard,87,87,en
Leo Xiv,vatican.va,standard,545,545,en
Paul Vi,vatican.va,standard,877,877,en
Pius X,vatican.va,standard,16,16,en
Pius Xi,vatican.va,standard,25,25,en
Pius Xii,vatican.va,standard,220,220,en
Pope Alexander IV,papalencyclicals.net,standard,4,4,en;la
Pope Alexander VI,papalencyclicals.net,standard,1,1,en
Pope Alexander VII,papalencyclicals.net,standard,1,1,la
Pope Benedict XII,papalencyclicals.net,standard,1,1,en
Pope Benedict XIV,papalencyclicals.net,standard,44,43,en;it
Pope Benedict XV,papalencyclicals.net,standard,12,12,en
Pope Benedict XVI,papalencyclicals.net,standard,21,21,en;la
Pope Bl. Pius IX,papalencyclicals.net,standard,42,42,en
Pope Boniface VIII,papalencyclicals.net,standard,1,1,en
Pope Clement V,papalencyclicals.net,standard,1,1,en
Pope Clement VIII,papalencyclicals.net,standard,1,1,la
Pope Clement XI,papalencyclicals.net,standard,2,2,en;fr
Pope Clement XII,papalencyclicals.net,standard,1,1,en
Pope Clement XIII,papalencyclicals.net,standard,13,13,en;it
Pope Clement XIV,papalencyclicals.net,standard,4,4,en
Pope Eugene IV,papalencyclicals.net,standard,1,1,en
Pope Francis,papalencyclicals.net,standard,10,10,en
Pope Gregory IX,papalencyclicals.net,standard,1,1,en
Pope Gregory X,papalencyclicals.net,standard,1,1,en
Pope Gregory XIII,papalencyclicals.net,standard,2,2,en
Pope Gregory XVI,papalencyclicals.net,standard,10,10,en
Pope Honorious III,papalencyclicals.net,standard,1,1,en
Pope Innocent IV,papalencyclicals.net,standard,1,1,en
Pope Innocent XI,papalencyclicals.net,standard,1,1,en
Pope John XXII,papalencyclicals.net,standard,4,4,en;la
Pope Leo X,papalencyclicals.net,standard,3,3,en
Pope Leo XII,papalencyclicals.net,standard,5,5,en
Pope Leo XIII,papalencyclicals.net,standard,88,87,en
Pope Nicholas III,papalencyclicals.net,standard,1,1,en
Pope Nicholas IV,papalencyclicals.net,standard,1,1,en
Pope Nicholas V,papalencyclicals.net,standard,1,1,en
Pope Paul III,papalencyclicals.net,standard,2,2,en;la
Pope Paul VI,papalencyclicals.net,standard,36,36,en
Pope Pius VI,papalencyclicals.net,standard,26,26,en;it
Pope Pius VII,papalencyclicals.net,standard,2,2,en;it
Pope Pius VIII,papalencyclicals.net,standard,1,1,en
Pope Pius XI,papalencyclicals.net,standard,32,32,en;la
Pope Pius XII,papalencyclicals.net,standard,60,60,en
Pope Sixtus IV,papalencyclicals.net,standard,1,1,en
Pope Sixtus V,papalencyclicals.net,standard,1,1,en
Pope St. John Paul II,papalencyclicals.net,standard,60,58,en
Pope St. John XXIII,papalencyclicals.net,standard,18,18,en;unknown
Pope St. Pius V,papalencyclicals.net,standard,4,4,en;la
Pope St. Pius X,papalencyclicals.net,standard,26,26,en;la
