term_str,pre_mean,post_mean
aaron,6.700446907131967e-05,1.2732207650688409e-06
aas,0.00011327386058259447,0.0011623372111856686
aback,0.0,1.356102045128071e-06
abandon,0.00015798696327501378,7.563914061104196e-05
abandoned,0.00014089072670838478,8.270116284646485e-05
abandoning,3.8961856283378854e-05,3.9254886571612355e-05
abandonment,1.2266645600797507e-05,0.00010208486730942149
abandons,1.4004249386299673e-05,1.108947788048137e-05
abase,1.5316702159186766e-06,3.13655934849711e-06
abasement,0.0,4.627395204946458e-06
abba,2.25729027250718e-06,3.161502772574374e-05
abbess,6.07106726747492e-06,0.0
abbey,3.476161155016199e-06,0.0
abbot,4.566001244307899e-05,7.414424721732295e-06
abbots,7.159658490952795e-05,0.0
abdicate,1.7676773326767218e-05,2.773553530189723e-06
abel,1.1405386072860023e-05,3.917919485168132e-05
aberration,2.149829336953014e-05,2.385166851941949e-06
aberrations,2.307926689035742e-05,6.319218482735928e-06
abhor,5.224591006848514e-05,0.0
abide,6.20850141803733e-05,2.520269956823089e-05
abides,1.9642680818618224e-05,4.883631085780624e-05
abiding,4.540122095936946e-05,3.9460946756048035e-05
abilities,2.6952933083193744e-05,3.5557431141489364e-05
ability,7.60302391475055e-05,0.0001281401166531245
abject,8.361934332936036e-06,1.2349377142839038e-05
ablaze,1.9504056105144465e-06,6.796184545968337e-06
able,0.00029784384980496116,0.0003181638741735638
abnegation,2.00705830556802e-05,1.8968423967914025e-05
abnormal,3.03222974279783e-05,2.9840066211774173e-06
abode,4.2507421140231397e-05,1.2825082849804892e-05
abolish,6.094102749121505e-05,1.2561901654311864e-05
abolished,0.00014198583126207305,4.958181249781709e-05
abolishing,2.0774443380990686e-05,2.6332621603946387e-05
abolition,9.601621713370159e-05,1.3879140957241988e-05
abominable,6.517622634796054e-05,1.882335758425766e-06
aboriginal,0.0,7.954053785551463e-06
abortion,3.2583979626856737e-07,0.00014222511135519088
abound,5.46274647771988e-05,1.69890274353178e-05
abounded,1.6254916788835495e-05,1.0201037940847702e-06
abounding,2.3790774729688735e-05,9.56840553212547e-06
abounds,5.345265963200258e-05,9.606554071787812e-07
abraham,7.847406476940992e-06,0.0001026420365286082
abroad,0.000172772897545681,1.6076592589695786e-05
abrogate,5.3110957024685504e-05,4.8420364193736414e-05
abrogated,5.37801518917335e-05,5.726763398358609e-05
abruzzo,1.7223346053926562e-06,0.0
absence,5.337973187297354e-05,0.00012658782877593628
absent,8.096056044786863e-05,3.781218728944032e-05
absolute,0.00014017092422529193,0.00024280909321432924
absolutely,0.0002639977264808355,0.00017053746127392702
absolution,0.00015671619791455497,0.0008859856231595488
absolutizing,0.0,6.856911178179542e-06
absolve,9.327100544621556e-05,1.512409481282993e-05
absolved,0.00012473894593957124,9.406658463750594e-06
absolving,2.5928548169931112e-05,0.0
absorb,1.0665090212582266e-05,2.0514857518233017e-05
absorbed,4.1954717778362875e-05,5.52255628293226e-06
absorbing,1.0477881959272392e-05,5.076775028113142e-06
absorbs,8.333877122867691e-06,1.5845952269937812e-05
absorption,2.7470066320688456e-06,1.766305410278324e-05
abstain,0.0002284642175898179,2.6280686206396e-05
abstaining,4.2060985428648567e-05,0.0
abstinence,7.370748739850788e-05,3.2227300433572674e-06
abstract,1.2590233392633807e-05,7.706997167824897e-05
abstraction,7.979642655988578e-06,4.570617488138043e-06
absurd,0.00016558970945365476,5.225770452918313e-06
absurdity,4.2152803175520747e-05,4.264692943727486e-06
abu,0.0,1.0449873340665156e-05
abundance,0.00026415688858770524,6.862227674926312e-05
abundant,0.00025117052148707124,7.004140963884304e-05
abundantly,0.00017320085658467755,4.826719893207813e-05
abuse,0.00015272034824451736,0.00020015363742546886
abused,7.567541295251196e-06,2.2281786531619957e-05
abuses,0.00011314387020881545,7.570198968116514e-05
abusing,1.8787742115056583e-05,1.8734914745933702e-06
abusive,4.817656192737094e-07,6.9259188155385565e-06
abyss,4.2746166294137654e-05,8.51488195371083e-06
abysses,0.0,1.8018245837031055e-06
academic,9.136105374190609e-05,0.00024041268450503822
academicians,4.139390970427607e-06,0.0
academics,1.2678312053044154e-06,5.4716708718762585e-06
academies,5.020656013875696e-05,1.6240220431281038e-06
academy,2.392821561032125e-05,2.7308987243929307e-05
accede,2.0953955371008173e-05,0.0
accelerate,0.0,6.2406466089908605e-06
accelerated,2.619784328615335e-06,9.404421269640438e-06
acceleration,8.368102265267695e-07,6.995645585953583e-06
accent,9.205011817327508e-06,9.416618250391984e-06
accents,1.5381749788906154e-05,0.0
accentuate,8.508565264923496e-06,3.44413511707718e-06
accentuated,4.986017038946018e-06,1.5058616758954637e-05
accept,0.0001746521122315953,0.00021457187936865977
acceptable,8.399381087310744e-05,7.728362324009629e-05
acceptance,3.334409215910322e-05,0.00018925680509108885
accepted,0.00017546403184735888,0.0003221139902004923
accepting,3.073397582592921e-05,0.00013676398726647534
accepts,3.141819554027193e-05,8.331967159195545e-05
access,5.221874223825815e-05,9.86666376359299e-05
accessible,5.60345685604862e-05,8.133767051823291e-05
accession,1.013574607261308e-05,0.0
accident,1.1692911935144733e-05,3.518228696352743e-05
accidental,9.93711819577203e-06,1.4351417369421674e-05
accidents,1.8610214154267665e-06,7.3186423826518295e-06
acclaim,1.8478647291811395e-06,2.162730888787192e-05
acclaimed,1.7078424014803108e-05,1.7374290037863992e-05
acclamation,5.270302334137443e-07,4.556724390697925e-05
accommodate,2.9486589466215414e-05,1.517647361932306e-05
accommodated,1.394080876189513e-05,9.241214380025613e-06
accommodating,1.2917223706743981e-05,2.486523904913018e-06
accommodation,1.0963686220951033e-05,1.3868229811095057e-05
accompanied,4.7165938383021555e-05,0.0001684366859467373
accompanies,1.4933493321163156e-05,6.994129452422119e-05
accompaniment,2.7191280576467073e-05,1.5769862746892137e-05
accompany,2.3776643563565135e-05,7.124857636590516e-05
accompanying,2.6451273331370478e-05,2.1075871040156006e-05
accomplices,4.041909025595786e-05,3.1916585204543224e-06
accomplish,0.00019504364263146315,0.00020507817694524264
accomplished,0.00020893665561156849,0.00019033188613953688
accomplishes,6.671994492502801e-06,4.3542345317538e-05
accomplishing,4.324644264100581e-05,2.1963471716096895e-05
accomplishment,6.0093870669975335e-05,2.5809935101571845e-05
accomplishments,5.136350540952452e-05,7.873203585785822e-06
accord,0.0003168469259818576,0.00018589331608638432
accordance,0.00025687505311270135,0.0004336073669904969
accorded,6.431714256766239e-05,4.8713338067604556e-05
according,0.0008323780916129232,0.0007504414071201961
accordingly,0.0003509171655084838,0.00010991062644500902
accords,2.3287586150773117e-05,8.348500552818723e-06
account,0.0004468691075986788,0.00044592914254645713
accountability,7.797288776879106e-07,2.9277518774740653e-06
accountable,0.0,3.288926401506848e-06
accounted,4.944262359040377e-05,5.0343451353016125e-06
accounting,7.580245961967845e-06,7.488040387900515e-06
accounts,2.911322181282148e-05,3.40351136516684e-05
accredit,0.0,0.0
accredited,7.685090949757454e-06,1.5750561180373546e-05
accrediting,0.0,0.0
accredits,0.0,0.0
accrue,7.184244287547236e-05,0.0
accumulate,5.675200235023745e-06,4.273244663148643e-06
accumulated,1.5407218095400457e-05,2.3431361710902048e-05
accumulating,2.7788837934125798e-06,8.580148403930205e-06
accumulation,1.568947011683744e-05,3.1695282470332824e-05
accuracy,2.0554938398679343e-05,1.817281709550519e-06
accurate,7.308699955761961e-05,5.9129085656503784e-05
accurately,9.542307576288068e-05,2.2386046964743505e-05
accursed,9.23029209839454e-05,2.1799347077081906e-06
accusation,4.0011055219729695e-05,1.9182246525754834e-05
