term_str,doc_id
labor,pope_alexander_iv__clara_claris_praeclara
labor,pope_benedict_xiv__ex_quo
labor,pope_benedict_xiv__peregrinantes
labor,pope_benedict_xiv__ubi_primum
labor,pope_benedict_xv__fausto_appetente_die
labor,pope_benedict_xv__humani_generis_redemptionem
labor,pope_benedict_xv__principi_apostolorum_petro
labor,pope_benedict_xv__sacra_propediem
labor,pope_benedict_xv__spiritus_paraclitus
labor,pope_bl__pius_ix__amantissimus
labor,pope_bl__pius_ix__cum_nuper
labor,pope_bl__pius_ix__exultavit_cor_nostrum
labor,pope_bl__pius_ix__graves_ac_diuturnae
labor,pope_bl__pius_ix__gravibus_ecclesiae
labor,pope_bl__pius_ix__inter_multiplices
labor,pope_bl__pius_ix__maximae_quidem
labor,pope_bl__pius_ix__neminem_vestrum
labor,pope_bl__pius_ix__nemo_certe_ignorat
labor,pope_bl__pius_ix__nostis_et_nobiscum
labor,pope_bl__pius_ix__omnem_sollicitudinem
labor,pope_bl__pius_ix__probe_noscitis_venerabiles
labor,pope_bl__pius_ix__qui_pluribus
labor,pope_bl__pius_ix__ubi_primum
labor,pope_clement_xi__unigenitus
labor,pope_clement_xiii__a_quo_die
labor,pope_clement_xiii__cum_primum
labor,pope_clement_xiii__in_dominico_agro
labor,pope_clement_xiv__cum_summi
labor,pope_clement_xiv__decet_quam_maxime
labor,pope_gregory_xvi__commissum_divinitus
labor,pope_gregory_xvi__inter_praecipuas
labor,pope_gregory_xvi__mirari_vos
labor,pope_honorious_iii__solet_annuere
labor,pope_leo_xii__charitate_christi
labor,pope_leo_xii__quod_hoc_ineunte
labor,pope_leo_xiii__ad_extremas
labor,pope_leo_xiii__adiutricem
labor,pope_leo_xiii__aeterni_patris
labor,pope_leo_xiii__amantissimae_voluntatis
labor,pope_leo_xiii__au_milieu_des_sollicitudes
labor,pope_leo_xiii__auspicato_concessum
labor,pope_leo_xiii__constanti_hungarorum
labor,pope_leo_xiii__depuis_le_jour
labor,pope_leo_xiii__etsi_nos
labor,pope_leo_xiii__exeunte_iam_anno
labor,pope_leo_xiii__grande_munus
labor,pope_leo_xiii__graves_de_communi_re
labor,pope_leo_xiii__humanum_genus
labor,pope_leo_xiii__immortale_dei
labor,pope_leo_xiii__in_plurimis
labor,pope_leo_xiii__inimica_vis
labor,pope_leo_xiii__inscrutabili_dei_consilio
labor,pope_leo_xiii__laetitiae_sanctae
labor,pope_leo_xiii__libertas_praestantissimum__a
labor,pope_leo_xiii__litteras_a_vobis
labor,pope_leo_xiii__longinqua
labor,pope_leo_xiii__magnae_dei_matris
labor,pope_leo_xiii__octobri_mense
labor,pope_leo_xiii__officio_sanctissimo
labor,pope_leo_xiii__orientalium_dignitas
labor,pope_leo_xiii__pastoralis
labor,pope_leo_xiii__praeclara_gratulationis_publicae
labor,pope_leo_xiii__providentissimus_deus
labor,pope_leo_xiii__quae_ad_nos
labor,pope_leo_xiii__quam_aerumnosa
labor,pope_leo_xiii__quamquam_pluries
labor,pope_leo_xiii__quarto_abeunte_saeculo
labor,pope_leo_xiii__quod_apostolici_muneris
labor,pope_leo_xiii__quod_multum
labor,pope_leo_xiii__rerum_novarum
labor,pope_leo_xiii__sancta_dei_civitas
labor,pope_leo_xiii__sapientiae_christianae
labor,pope_leo_xiii__urbanitatis_veteris
labor,pope_nicholas_iii__exiit_qui_seminat
labor,pope_nicholas_v__romanus_pontifex
labor,pope_paul_vi__ecclesiam_suam
labor,pope_paul_vi__gaudete_in_domino
labor,pope_paul_vi__general_catechetical_directory
labor,pope_paul_vi__humanae_vitae
labor,pope_paul_vi__mysterium_fidei
labor,pope_paul_vi__octagesima_adveniens
labor,pope_paul_vi__on_religious_life
labor,pope_paul_vi__populorum_progressio
labor,pope_paul_vi__reflections_at_nazareth
labor,pope_paul_vi__renewal_of_the_religious_life
labor,pope_pius_vi__charitas
labor,pope_pius_vi__inscrutabile
labor,pope_pius_viii__traditi_humilitati
labor,pope_pius_xi__ad_catholici_sacerdotii
labor,pope_pius_xi__caritate_christi_compulsi
labor,pope_pius_xi__casti_connubii
labor,pope_pius_xi__dilectissima_nobis
labor,pope_pius_xi__divini_illius_magistri_december_31__1929
labor,pope_pius_xi__divini_redemptoris
labor,pope_pius_xi__nos_es_muy_conocida
labor,pope_pius_xi__quadragesimo_anno
labor,pope_pius_xi__quas_primas
labor,pope_pius_xi__rerum_ecclesiae
labor,pope_pius_xi__rerum_omnium_perturbationem
labor,pope_pius_xi__rerum_orientalium
labor,pope_pius_xi__rite_expiatis
labor,pope_pius_xi__studiorum_ducem
labor,pope_pius_xi__ubi_arcano_dei_consilio
labor,pope_pius_xii__ad_sinarum_gentem
labor,pope_pius_xii__anni_sacri
labor,pope_pius_xii__applied_psychology
labor,pope_pius_xii__counsel_to_teaching_sisters
labor,pope_pius_xii__divino_afflante_spiritu
labor,pope_pius_xii__ecclesiae_fastos
labor,pope_pius_xii__evangelii_praecones
labor,pope_pius_xii__exsul_familia_nazarethana
labor,pope_pius_xii__fulgens_radiatur
labor,pope_pius_xii__guiding_principles_of_the_lay_apostolate
labor,pope_pius_xii__humani_generis
labor,pope_pius_xii__invicti_athletae
labor,pope_pius_xii__le_pelerinage_de_lourdes
labor,pope_pius_xii__mediator_dei
labor,pope_pius_xii__meminisse_iuvat
labor,pope_pius_xii__menti_nostrae
labor,pope_pius_xii__miranda_prorsus
labor,pope_pius_xii__musicae_sacrae
labor,pope_pius_xii__mystici_corporis
labor,pope_pius_xii__on_psychotherapy_and_religion
labor,pope_pius_xii__on_rural_life
labor,pope_pius_xii__optatissima_pax
labor,pope_pius_xii__orientales_omnes_ecclesias
labor,pope_pius_xii__orientalis_ecclesiae
labor,pope_pius_xii__redemptoris_nostri_cruciatus
labor,pope_pius_xii__sacra_virginitas
labor,pope_pius_xii__sacram_communionem
labor,pope_pius_xii__saeculo_exeunte_octavo
