term_str,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
church,0.008946778,0.00816245,0.008129829,0.01327113,0.03195632,0.017252976,0.0030423722,0.0061564962,0.0010786694,0.0012161685
god,0.007306672,0.0019345493,0.003984316,0.019773468,0.010386541,7.99249e-05,0.0261001,0.0054334197,0.011052353,0.001440878
men,0.007231231,2.5706864e-05,0.0018232182,0.0010090251,0.0031726372,1.1625537e-05,0.001538653,0.0008935825,0.00076951116,0.001586752
may,0.0062995492,0.0024628595,0.0071424674,0.000464987,0.004009037,0.003296314,0.006987977,0.010340154,0.0032686922,0.0019735766
one,0.0059899376,0.003337394,0.0013140549,0.008729198,0.0049902373,0.0028304504,0.0058385045,0.0035635584,0.010996888,0.004960659
great,0.00598324,0.0013964892,0.005620183,0.0030148975,0.0046911947,0.00069105753,0.0031638963,0.0058715865,0.003084476,0.0028088028
divine,0.005140309,0.00016257164,0.0010885991,0.0028221554,0.00045101222,0.0007028093,0.0025258695,0.00095385476,8.17124e-08,3.2092803e-06
catholic,0.0050316663,0.007480763,0.0070462204,0.00020948275,0.0046878373,0.0064018504,5.292247e-06,0.000594655,1.9406272e-05,0.0008190455
christian,0.0049256915,0.008063806,0.0029924978,0.0049914788,0.008363306,0.00070891535,0.0029811119,0.0040100687,0.0018207001,0.0010396754
even,0.004310583,0.00014563298,4.898965e-05,0.0030554195,0.0010188057,0.0017848335,0.0016422168,0.00080928847,0.004732423,0.0024196901
must,0.004310075,0.00028439713,9.724676e-05,0.004347669,0.0064521944,0.004008663,0.00084267283,0.00044297046,0.0031267996,0.006661635
give,0.0042955647,0.00069749553,0.0021661625,0.0044451933,0.0050998796,0.0027350283,0.0055329287,0.0027417648,0.005992568,0.0025294523
time,0.004023023,0.00079210725,0.0022378261,0.0052209157,0.0027681726,0.0035780612,0.0034016373,0.00396641,0.005201052,0.0025617413
good,0.0039903168,0.00029560915,0.0064543756,0.0018945135,0.0027883134,0.0011980521,0.0016207584,0.0021304395,0.0070024044,0.0064838137
thing,0.0038840396,4.3001863e-05,2.8679964e-05,0.001508143,0.0003606853,0.00057684473,0.0008467706,4.2581625e-05,0.0049421038,7.3716656e-05
make,0.0038541139,0.0006311972,0.0030795955,0.005125971,0.004703045,0.003796101,0.0046270117,0.0032069935,0.006539746,0.00464354
order,0.0038467224,0.000118317585,0.00059539493,0.0025719947,0.0020492065,0.0043170056,0.0009570313,0.0017483486,0.0016395854,0.002567502
law,0.0038259071,4.5969813e-07,0.00010202261,0.0015063126,6.0167076e-07,0.005841133,0.00026710524,8.964979e-08,0.00030701107,0.0011724693
venerable,0.003814206,0.00026359048,3.0396033e-05,2.0821077e-05,0.00017776016,0.0006122044,3.1002392e-06,0.001707557,8.1307675e-08,5.6905435e-08
many,0.0037111775,0.0007532641,0.002533892,0.0011491785,0.0035191688,0.0001243227,0.0013696094,0.004158647,0.0061772913,0.0033559687
christ,0.0036123868,0.004700822,2.4433351e-05,0.012147311,0.018381922,3.1909876e-05,0.016717577,0.004074455,0.00010100216,5.1649663e-06
faith,0.0035875523,0.0016182335,0.001634252,0.0064168395,0.0074090944,0.0015331286,0.004442277,0.0040997323,0.0018041722,6.413242e-05
right,0.0035531714,8.944053e-06,0.0017127051,0.0004969064,0.00014031588,0.0017678307,0.00023245151,2.732082e-07,0.0005471111,0.006172622
brother,0.0035020756,0.002159599,0.0003693252,0.00011027405,0.005224983,1.8474906e-05,0.0043060067,0.0067477305,0.0047472157,0.0005970391
