doc_id,category,author,author_dates,pope,pope_dates,title,url,year,document_type,language,format,text_length,error,domain,replacement_url
pope_clement_xiii__accedamus_cum_fiducia,pope,Pope Clement XIII,1758-1769,Pope Clement XIII,1758-1769,Accedamus cum fiducia,http://digilander.iol.it/magistero/c13acced.htm,,document,en,html,0,known_dead_domain,digilander.iol.it,https://www.vatican.va/content/clemens-xiii/it/documents/breve-accedamus-cum-fiducia-25-giugno-1768.html
pope_clement_xiii__pastoralis_officii,pope,Pope Clement XIII,1758-1769,Pope Clement XIII,1758-1769,Pastoralis officii,http://digilander.iol.it/magistero/c13pasto.htm,,document,en,html,0,known_dead_domain,digilander.iol.it,https://www.papalencyclicals.net/leo13/l13dul.htm
pope_clement_xiii__quam_graviter,pope,Pope Clement XIII,1758-1769,Pope Clement XIII,1758-1769,Quam graviter,http://digilander.iol.it/magistero/c13quamg.htm,,document,en,html,0,known_dead_domain,digilander.iol.it,https://www.vatican.va/content/clemens-xiii/it/documents/enciclica-quam-graviter-25-giugno-1766.html
pope_clement_xiii__quanta_auxilii,pope,Pope Clement XIII,1758-1769,Pope Clement XIII,1758-1769,Quanta auxilii,http://digilander.iol.it/magistero/c13quant.htm,,document,en,html,0,known_dead_domain,digilander.iol.it,https://www.vatican.va/content/clemens-xiii/it/documents/breve-quanta-auxilii-8-maggio-1765.html
pope_clement_xiii__quanto_in_dolore,pope,Pope Clement XIII,1758-1769,Pope Clement XIII,1758-1769,Quanto in dolore,http://digilander.iol.it/magistero/c13quaid.htm,,document,en,html,0,known_dead_domain,digilander.iol.it,https://www.vatican.va/content/clemens-xiii/it/documents/breve-quanto-in-dolore-9-giugno-1762.html
pope_clement_xiii__ubi_primum_accepimus,pope,Pope Clement XIII,1758-1769,Pope Clement XIII,1758-1769,Ubi primum accepimus,http://digilander.iol.it/magistero/c13ubipr.htm,,document,en,html,0,known_dead_domain,digilander.iol.it,https://www.vatican.va/content/clemens-xiii/it/documents/breve-ubi-primum-accepimus-14-gennaio-1764.html
pope_clement_xiii__venimus_in_altitudinem,pope,Pope Clement XIII,1758-1769,Pope Clement XIII,1758-1769,Venimus in altitudinem,http://digilander.iol.it/magistero/c13venim.htm,,document,en,html,0,known_dead_domain,digilander.iol.it,https://www.vatican.va/content/clemens-xiii/it/documents/breve-venimus-in-altitudinem-11-settembre-1758.html
pope_paul_vi__orientalium_ecclesiarum,pope,Pope Paul VI,1963-1978,Pope Paul VI,1963-1978,Orientalium Ecclesiarum,http://www.cin.org/v2east.html,,document,,error,0,fetch_failed,www.cin.org,https://www.vatican.va/archive/hist_councils/ii_vatican_council/documents/vat-ii_decree_19641121_orientalium-ecclesiarum_en.html
pope_pius_vi__ad_nostras_manus,pope,Pope Pius VI,1775-1799,Pope Pius VI,1775-1799,Ad nostras manus,http://digilander.iol.it/magistero/p6adnost.htm,,document,en,html,0,known_dead_domain,digilander.iol.it,https://www.vatican.va/content/pius-vi/it/documents/enciclica-ad-nostras-manus-31-luglio-1793.html
pope_pius_vi__adeo_nota,pope,Pope Pius VI,1775-1799,Pope Pius VI,1775-1799,Adeo nota,http://digilander.iol.it/magistero/p6adeono.htm,,document,en,html,0,known_dead_domain,digilander.iol.it,https://www.vatican.va/content/pius-vi/it/documents/enciclica-adeo-nota-23-aprile-1791.html
