pope_label,pope_card_url,pope_slug,pope_home_url
"Leo XIV 8,18.V.2025 --/--/--",https://www.vatican.va/content/vatican/en/holy-father/leone-xiv.html,leo-xiv,https://www.vatican.va/content/leo-xiv/en.html
"Francis 13,19.III.2013 21.IV.2025",https://www.vatican.va/content/vatican/en/holy-father/francesco.html,francesco,https://www.vatican.va/content/francesco/en.html
"Benedict XVI 19,24.IV.2005 28.II.2013",https://www.vatican.va/content/vatican/en/holy-father/benedetto-xvi.html,benedict-xvi,http://www.vatican.va/content/benedict-xvi/en.html
"John Paul II 16,22.X.1978 2.IV.2005",https://www.vatican.va/content/vatican/en/holy-father/giovanni-paolo-ii.html,john-paul-ii,http://www.vatican.va/content/john-paul-ii/en.html
"John Paul I 26.VIII, 3.IX.1978 28.IX.1978",https://www.vatican.va/content/vatican/en/holy-father/giovanni-paolo-i.html,john-paul-i,http://www.vatican.va/content/john-paul-i/en.html
"Paul VI 21,30.VI.1963 6.VIII.1978",https://www.vatican.va/content/vatican/en/holy-father/paolo-vi.html,paul-vi,http://www.vatican.va/content/paul-vi/en.html
"John XXIII 28.X, 4.XI.1958 3.VI.1963",https://www.vatican.va/content/vatican/en/holy-father/giovanni-xxiii.html,john-xxiii,https://www.vatican.va/content/john-xxiii/en.html
"Pius XII 2,12.III.1939 9.X.1958",https://www.vatican.va/content/vatican/en/holy-father/pio-xii.html,pius-xii,http://w2.vatican.va/content/pius-xii/en.html
"Pius XI 6,12.II.1922 10.II.1939",https://www.vatican.va/content/vatican/en/holy-father/pio-xi.html,pius-xi,http://w2.vatican.va/content/pius-xi/en.html
"Benedict XV 3,6.IX.1914 22.I.1922",https://www.vatican.va/content/vatican/en/holy-father/benedetto-xv.html,benedict-xv,https://www.vatican.va/content/benedict-xv/en.html
"Pius X 4,9.VIII.1903 20.VIII.1914",https://www.vatican.va/content/vatican/en/holy-father/pio-x.html,pius-x,https://www.vatican.va/content/pius-x/en.html
"Leo XIII 20.II, 3.III.1878 20.VII.1903",https://www.vatican.va/content/vatican/en/holy-father/leone-xiii.html,leo-xiii,https://www.vatican.va/content/leo-xiii/en.html
"Clement XII 12,16.VII.1730 6.II.1740",https://www.vatican.va/content/vatican/en/holy-father/clemente-xii.html,clement-xii,https://www.vatican.va/content/clement-xii/en.html
"Benedict XIII 29.V, 4.VI.1724 21.II.1730",https://www.vatican.va/content/vatican/en/holy-father/benedetto-xiii.html,benedict-xiii,https://www.vatican.va/content/benedict-xiii/en.html
"Innocent XIII 8,18.V.1721 7.III.1724",https://www.vatican.va/content/vatican/en/holy-father/innocenzo-xiii.html,innocent-xiii,https://www.vatican.va/content/innocent-xiii/en.html
"Clement XI 23,30.XI, 8.XII.1700 19.III.1721",https://www.vatican.va/content/vatican/en/holy-father/clemente-xi.html,clement-xi,https://www.vatican.va/content/clement-xi/en.html
"Innocent XII 12,15.VII.1691 27.IX.1700",https://www.vatican.va/content/vatican/en/holy-father/innocenzo-xii.html,innocent-xii,https://www.vatican.va/content/innocent-xii/en.html
"Alexander VIII 6,16.X.1689 1.II.1691",https://www.vatican.va/content/vatican/en/holy-father/alessandro-viii.html,alexander-viii,https://www.vatican.va/content/alexander-viii/en.html
"Innocent XI 21.IX, 4.X.1676 12.VIII.1689",https://www.vatican.va/content/vatican/en/holy-father/innocenzo-xi.html,innocent-xi,https://www.vatican.va/content/innocent-xi/en.html
"Clement X 29.IV,11.V.1670 22.VII.1676",https://www.vatican.va/content/vatican/en/holy-father/clemente-x.html,clement-x,https://www.vatican.va/content/clement-x/en.html
"Clement IX 20,26.VI.1667 9.XII.1669",https://www.vatican.va/content/vatican/en/holy-father/clemente-ix.html,clement-ix,https://www.vatican.va/content/clement-ix/en.html
"Alexander VII 7,18.IV.1655 22.V.1667",https://www.vatican.va/content/vatican/en/holy-father/alessandro-vii.html,alexander-vii,https://www.vatican.va/content/alexander-vii/en.html
"Innocent X 15.IX,4.X.1644 7.I.1655",https://www.vatican.va/content/vatican/en/holy-father/innocenzo-x.html,innocent-x,https://www.vatican.va/content/innocent-x/en.html
"Urban VIII 6.VIII, 29.IX.1623 29.VII.1644",https://www.vatican.va/content/vatican/en/holy-father/urbano-viii.html,urban-viii,https://www.vatican.va/content/urban-viii/en.html
"Gregory XV 9,14.II.1621 8.VII.1623",https://www.vatican.va/content/vatican/en/holy-father/gregorio-xv.html,gregory-xv,https://www.vatican.va/content/gregory-xv/en.html
"Paul V 16,29.V.1605 28.I.1621",https://www.vatican.va/content/vatican/en/holy-father/paolo-v.html,paul-v,https://www.vatican.va/content/paul-v/en.html
"Leo XI 1,10.IV.1605 27.IV.1605",https://www.vatican.va/content/vatican/en/holy-father/leone-xi.html,leo-xiv,https://www.vatican.va/content/leo-xiv/en.html
"Clement VIII 30.I,9.II.1592 3.III.1605",https://www.vatican.va/content/vatican/en/holy-father/clemente-viii.html,clement-viii,https://www.vatican.va/content/clement-viii/en.html
"Innocent IX 29.X,3.XI.1591 30.XII.1591",https://www.vatican.va/content/vatican/en/holy-father/innocenzo-ix.html,innocent-ix,https://www.vatican.va/content/innocent-ix/en.html
"Gregory XIV 5,8.XII.1590 16.X.1591",https://www.vatican.va/content/vatican/en/holy-father/gregorio-xiv.html,leo-xiv,https://www.vatican.va/content/leo-xiv/en.html
Urban VII 15.IX.1590 27.IX.1590,https://www.vatican.va/content/vatican/en/holy-father/urbano-vii.html,urban-vii,https://www.vatican.va/content/urban-vii/en.html
"Sixtus V 24.IV, 1.V.1585 27.VIII.1590",https://www.vatican.va/content/vatican/en/holy-father/sisto-v.html,sixtus-v,https://www.vatican.va/content/sixtus-v/en.html
"Gregory XIII 13,25.V.1572 10.IV.1585",https://www.vatican.va/content/vatican/en/holy-father/gregorio-xiii.html,gregory-xiii,https://www.vatican.va/content/gregory-xiii/en.html
"Pius V 7,17.I.1566 1.V.1572",https://www.vatican.va/content/vatican/en/holy-father/pio-v.html,pius-v,https://www.vatican.va/content/pius-v/en.html
"Pius IV 26.XII.1559, 6.I.1560 9.XII.1565",https://www.vatican.va/content/vatican/en/holy-father/pio-iv.html,pius-iv,https://www.vatican.va/content/pius-iv/en.html
"Paul IV 23,26.V.1555 18.VIII.1559",https://www.vatican.va/content/vatican/en/holy-father/paolo-iv.html,paul-iv,https://www.vatican.va/content/paul-iv/en.html
"Marcellus II 9,10.IV.1555 1.V.1555",https://www.vatican.va/content/vatican/en/holy-father/marcello-ii.html,marcello-ii,https://www.vatican.va/content/marcello-ii/en.html
"Julius III 7,22.II.1550 23.III.1555",https://www.vatican.va/content/vatican/en/holy-father/giulio-iii.html,julius-iii,https://www.vatican.va/content/julius-iii/en.html
"Paul III 13.X, 3.XI.1534 10.XI.1549",https://www.vatican.va/content/vatican/en/holy-father/paolo-iii.html,paul-iii,https://www.vatican.va/content/paul-iii/en.html
"Clement VII 19,26.XI.1523 25.IX.1534",https://www.vatican.va/content/vatican/en/holy-father/clemente-vii.html,clement-vii,https://www.vatican.va/content/clement-vii/en.html
"Adrian VI 9.I,31.VIII.1522 14.IX.1523",https://www.vatican.va/content/vatican/en/holy-father/adriano-vi.html,adrian-vi,https://www.vatican.va/content/adrian-vi/en.html
"Leo X 11,19.III.1513 1.XII.1521",https://www.vatican.va/content/vatican/en/holy-father/leone-x.html,leo-xiv,https://www.vatican.va/content/leo-xiv/en.html
"Julius II 1,26.XI.1503 21.II.1513",https://www.vatican.va/content/vatican/en/holy-father/giulio-ii.html,julius-ii,https://www.vatican.va/content/julius-ii/en.html
"Pius III 22.IX, 1,8.X.1503 18.X.1503",https://www.vatican.va/content/vatican/en/holy-father/pio-iii.html,pius-iii,https://www.vatican.va/content/pius-iii/en.html
"Alexander VI 11,26.VIII.1492 18.VIII.1503",https://www.vatican.va/content/vatican/en/holy-father/alessandro-vi.html,alexander-vi,https://www.vatican.va/content/alexander-vi/en.html
"Innocent VIII 29.VIII, 12.IX.1484 25.VII.1492",https://www.vatican.va/content/vatican/en/holy-father/innocenzo-viii.html,innocent-viii,https://www.vatican.va/content/innocent-viii/en.html
"Sixtus IV 1,9,25.VIII.1471 12.VIII.1484",https://www.vatican.va/content/vatican/en/holy-father/sisto-iv.html,sixtus-iv,https://www.vatican.va/content/sixtus-iv/en.html
"Paul II 30.VIII, 16.IX.1464 26.VII.1471",https://www.vatican.va/content/vatican/en/holy-father/paolo-ii.html,paul-ii,https://www.vatican.va/content/paul-ii/en.html
"Pius II 19.VIII, 3.IX.1458 14.VIII.1464",https://www.vatican.va/content/vatican/en/holy-father/pio-ii.html,pius-ii,https://www.vatican.va/content/pius-ii/en.html
"Callixtus III 8,20.IV.1455 6.VIII.1458",https://www.vatican.va/content/vatican/en/holy-father/callisto-iii.html,callixtus-iii,https://www.vatican.va/content/callixtus-iii/en.html
"Nicholas V 6,19.III.1447 24.III.1455",https://www.vatican.va/content/vatican/en/holy-father/niccolo-v.html,nicholas-v,https://www.vatican.va/content/nicholas-v/en.html
"Martin V 11,21.XI.1417 20.II.1431",https://www.vatican.va/content/vatican/en/holy-father/martino-v.html,martin-v,https://www.vatican.va/content/martin-v/en.html
"Gregory XII 30.XI,19.XII.1406 4.VII.1415",https://www.vatican.va/content/vatican/en/holy-father/gregorio-xii.html,gregory-xii,https://www.vatican.va/content/gregory-xii/en.html
"Innocent VII 17.X,11.XI.1404 6.XI.1406",https://www.vatican.va/content/vatican/en/holy-father/innocenzo-vii.html,innocent-vii,https://www.vatican.va/content/innocent-vii/en.html
"Boniface IX 2,9.XI.1389 1.X.1404",https://www.vatican.va/content/vatican/en/holy-father/bonifacio-ix.html,boniface-ix,https://www.vatican.va/content/boniface-ix/en.html
"Urban VI 8,18.IV.1378 15.X.1389",https://www.vatican.va/content/vatican/en/holy-father/urbano-vi.html,urban-vi,https://www.vatican.va/content/urban-vi/en.html
"Gregory XI 30.XII.1370, 3.I.1371 26.III.1378",https://www.vatican.va/content/vatican/en/holy-father/gregorio-xi.html,gregory-xi,https://www.vatican.va/content/gregory-xi/en.html
"Urban V 28.IX,6.XI.1362 19.XII.1370",https://www.vatican.va/content/vatican/en/holy-father/urbano-v.html,urban-v,https://www.vatican.va/content/urban-v/en.html
"Innocent VI 18,30.XII.1352 12.IX.1362",https://www.vatican.va/content/vatican/en/holy-father/innocenzo-vi.html,innocent-vi,https://www.vatican.va/content/innocent-vi/en.html
"John XXII 7.VIII,5.IX.1316 4.XII.1334",https://www.vatican.va/content/vatican/en/holy-father/giovanni-xxii.html,john-xxii,https://www.vatican.va/content/john-xxii/en.html
"Clement V 5.VI, 14.XI.1305 20.IV.1314",https://www.vatican.va/content/vatican/en/holy-father/clemente-v.html,clement-v,https://www.vatican.va/content/clement-v/en.html
"Benedict XI 22,27.X.1303 7.VII.1304",https://www.vatican.va/content/vatican/en/holy-father/benedetto-xi.html,benedict-xi,https://www.vatican.va/content/benedict-xi/en.html
"Boniface VIII 24.XII.1294, 23.I.1295 11.X.1303",https://www.vatican.va/content/vatican/en/holy-father/bonifacio-viii.html,boniface-viii,https://www.vatican.va/content/boniface-viii/en.html
"Celestine V 5.VII, 29.VIII.1294 13.XII.1294",https://www.vatican.va/content/vatican/en/holy-father/celestino-v.html,celestine-v,https://www.vatican.va/content/celestine-v/en.html
